sm170,sm500,sm1l,fcm250,fcm500,fcm1l,curd_140,curd_500,curd_6_cup,curd_10_cup,curd_20_cup,butter_milk,sum,date_time
0,0,0,0,0,0,0,0,0,0,0,0,0,"['17/07/2021', '10:13 PM']"
1,0,0,0,0,0,0,0,0,0,0,0,10,"['17/07/2021', '10:28 PM']"
0,0,0,0,0,3,0,0,0,0,0,0,186,"['17/07/2021', '10:30 PM']"
2,0,0,0,0,0,0,0,0,0,0,0,20,"['18/07/2021', '10:32 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:39 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:45 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:45 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:47 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:48 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '10:50 AM']"
0,0,5,0,0,0,0,0,0,0,0,0,280,"['18/07/2021', '11:08 AM']"
0,0,0,0,0,0,0,0,0,0,0,0,0,"['18/07/2021', '11:24 AM']"
